rank,mark,competitor,dob,nat,pos,venue,date,result_score
"
2751                                        ","
                                            13:37.71
                                        ","
        ","
                                            18 JUL 1965
                                        ","
                                            ","
                                            9
                                        ","
                                            Hengelo (NED)
                                        ","
                                            13 AUG 1989
                                        ","
                                                1075
                                            "
"
2751                                        ","
                                            13:37.71
                                        ","
        ","
                                            15 SEP 1969
                                        ","
                                            ","
                                            6
                                        ","
                                            Heusden-Zolder (BEL)
                                        ","
                                            23 JUL 2005
                                        ","
                                                1075
                                            "
"
2751                                        ","
                                            13:37.71
                                        ","
        ","
                                            27 JUL 1984
                                        ","
                                            ","
                                            8
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            29 APR 2007
                                        ","
                                                1075
                                            "
"
2751                                        ","
                                            13:37.71
                                        ","
        ","
                                            26 MAY 1984
                                        ","
                                            ","
                                            2f1
                                        ","
                                            Heusden-Zolder (BEL)
                                        ","
                                            18 JUL 2009
                                        ","
                                                1075
                                            "
"
2751                                        ","
                                            13:37.71
                                        ","
        ","
                                            09 JUN 1987
                                        ","
                                            ","
                                            1f3
                                        ","
                                            Heusden-Zolder (BEL)
                                        ","
                                            19 JUL 2014
                                        ","
                                                1075
                                            "
"
2756                                        ","
                                            13:37.72
                                        ","
        ","
                                            11 APR 1985
                                        ","
                                            ","
                                            2
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            21 MAY 2006
                                        ","
                                                1075
                                            "
"
2757                                        ","
                                            13:37.73
                                        ","
        ","
                                            06 APR 1944
                                        ","
                                            ","
                                            4
                                        ","
                                            London (GBR)
                                        ","
                                            14 JUL 1973
                                        ","
                                                1075
                                            "
"
2757                                        ","
                                            13:37.73
                                        ","
        ","
                                            16 JUL 1953
                                        ","
                                            ","
                                            2
                                        ","
                                            Athina (GRE)
                                        ","
                                            13 MAY 1978
                                        ","
                                                1075
                                            "
"
2759                                        ","
                                            13:37.74
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            8f1
                                        ","
                                            Azusa, CA (USA)
                                        ","
                                            18 APR 2019
                                        ","
                                                1075
                                            "
"
2759                                        ","
                                            13:37.74
                                        ","
        ","
                                            09 JAN 1999
                                        ","
                                            ","
                                            6
                                        ","
                                            Bislett Stadion, Oslo (NOR)
                                        ","
                                            04 JUN 2021
                                        ","
                                                1075
                                            "
"
2761                                        ","
                                            13:37.75
                                        ","
        ","
                                            16 JAN 1958
                                        ","
                                            ","
                                            6
                                        ","
                                            Pisa (ITA)
                                        ","
                                            20 JUN 1984
                                        ","
                                                1075
                                            "
"
2761                                        ","
                                            13:37.75
                                        ","
        ","
                                            21 MAR 1997
                                        ","
                                            ","
                                            2
                                        ","
                                            Kitami (JPN)
                                        ","
                                            07 JUL 2018
                                        ","
                                                1075
                                            "
"
2763                                        ","
                                            13:37.76
                                        ","
        ","
                                            22 SEP 1977
                                        ","
                                            ","
                                            10
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            17 APR 2003
                                        ","
                                                1075
                                            "
"
2764                                        ","
                                            13:37.77
                                        ","
        ","
                                            1982
                                        ","
                                            ","
                                            2
                                        ","
                                            Ponzano (ITA)
                                        ","
                                            01 JUL 2005
                                        ","
                                                1075
                                            "
"
2765                                        ","
                                            13:37.78
                                        ","
        ","
                                            22 APR 1973
                                        ","
                                            ","
                                            2
                                        ","
                                            Shizuoka (JPN)
                                        ","
                                            03 MAY 1998
                                        ","
                                                1075
                                            "
"
2766                                        ","
                                            13:37.79
                                        ","
        ","
                                            27 DEC 1962
                                        ","
                                            ","
                                            10
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            19 APR 1998
                                        ","
                                                1075
                                            "
"
2766                                        ","
                                            13:37.79
                                        ","
        ","
                                            13 FEB 1988
                                        ","
                                            ","
                                            9f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            03 APR 2015
                                        ","
                                                1075
                                            "
"
2766                                        ","
                                            13:37.79
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            7f2
                                        ","
                                            UVA Lanningan Field, Charlottesville, VA (USA)
                                        ","
                                            22 APR 2022
                                        ","
                                                1075
                                            "
"
2766                                        ","
                                            13:37.79
                                        ","
        ","
                                            02 OCT 2004
                                        ","
                                            ","
                                            5f2
                                        ","
                                            Stadion De Veen, Heusden-Zolder (BEL)
                                        ","
                                            15 JUL 2023
                                        ","
                                                1075
                                            "
"
2770                                        ","
                                            13:37.8h
                                        ","
        ","
                                            21 DEC 1961
                                        ","
                                            ","
                                            3f2
                                        ","
                                            Philadelphia, PA (USA)
                                        ","
                                            23 APR 1987
                                        ","
                                                1075
                                            "
"
2771                                        ","
                                            13:37.80
                                        ","
        ","
                                            10 JAN 1971
                                        ","
                                            ","
                                            8
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            21 APR 1996
                                        ","
                                                1075
                                            "
"
2771                                        ","
                                            13:37.8h
                                        ","
        ","
                                            16 JAN 1975
                                        ","
                                            ","
                                            2
                                        ","
                                            Rabat (MAR)
                                        ","
                                            19 MAY 1996
                                        ","
                                                1075
                                            "
"
2772                                        ","
                                            13:37.80
                                        ","
        ","
                                            29 OCT 1972
                                        ","
                                            ","
                                            24
                                        ","
                                            Heusden-Zolder (BEL)
                                        ","
                                            14 JUL 2001
                                        ","
                                                1075
                                            "
"
2774                                        ","
                                            13:37.81
                                        ","
        ","
                                            15 JUL 1957
                                        ","
                                            ","
                                            1
                                        ","
                                            Auckland (NZL)
                                        ","
                                            11 JAN 1986
                                        ","
                                                1075
                                            "
"
2774                                        ","
                                            13:37.81
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            7f2
                                        ","
                                            Cougar Athletic Stadium, Azusa, CA (USA)
                                        ","
                                            14 APR 2022
                                        ","
                                                1075
                                            "
"
2776                                        ","
                                            13:37.82
                                        ","
        ","
                                            22 JAN 1958
                                        ","
                                            ","
                                            3
                                        ","
                                            Champaign, IL (USA)
                                        ","
                                            02 JUN 1979
                                        ","
                                                1075
                                            "
"
2777                                        ","
                                            13:37.83
                                        ","
        ","
                                            25 APR 1954
                                        ","
                                            ","
                                            4
                                        ","
                                            Turku (FIN)
                                        ","
                                            02 JUL 1976
                                        ","
                                                1075
                                            "
"
2778                                        ","
                                            13:37.84
                                        ","
        ","
                                            08 JUL 1989
                                        ","
                                            ","
                                            2f2
                                        ","
                                            Zhukovskiy (RUS)
                                        ","
                                            28 JUL 2017
                                        ","
                                                1075
                                            "
"
2779                                        ","
                                            13:37.85
                                        ","
        ","
                                            29 SEP 1998
                                        ","
                                            ","
                                            6
                                        ","
                                            Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)
                                        ","
                                            30 AUG 2019
                                        ","
                                                1075
                                            "
"
2780                                        ","
                                            13:37.86
                                        ","
        ","
                                            1949
                                        ","
                                            ","
                                            9
                                        ","
                                            Stockholm (SWE)
                                        ","
                                            05 JUL 1977
                                        ","
                                                1075
                                            "
"
2780                                        ","
                                            13:37.86
                                        ","
        ","
                                            17 JUL 1984
                                        ","
                                            ","
                                            9f1
                                        ","
                                            Oordegem (BEL)
                                        ","
                                            31 MAY 2014
                                        ","
                                                1075
                                            "
"
2782                                        ","
                                            13:37.87
                                        ","
        ","
                                            05 JUN 1946
                                        ","
                                            ","
                                            4
                                        ","
                                            Budapest (HUN)
                                        ","
                                            12 JUN 1978
                                        ","
                                                1075
                                            "
"
2782                                        ","
                                            13:37.87
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            3
                                        ","
                                            Cougar Athletic Stadium, Azusa, CA (USA)
                                        ","
                                            25 JUL 2021
                                        ","
                                                1075
                                            "
"
2784                                        ","
                                            13:37.88
                                        ","
        ","
                                            28 MAY 1973
                                        ","
                                            ","
                                            5
                                        ","
                                            Victoria (CAN)
                                        ","
                                            28 MAY 1996
                                        ","
                                                1075
                                            "
"
2784                                        ","
                                            13:37.88
                                        ","
        ","
                                            04 FEB 1970
                                        ","
                                            ","
                                            7
                                        ","
                                            Maia (POR)
                                        ","
                                            03 JUL 1999
                                        ","
                                                1075
                                            "
"
2784                                        ","
                                            13:37.88
                                        ","
        ","
                                            11 JUN 1993
                                        ","
                                            ","
                                            7
                                        ","
                                            Rovereto (ITA)
                                        ","
                                            03 SEP 2013
                                        ","
                                                1075
                                            "
"
2784                                        ","
                                            13:37.88
                                        ","
        ","
                                            02 FEB 1997
                                        ","
                                            ","
                                            2f4
                                        ","
                                            Seattle, WA (USA) (i)
                                        ","
                                            08 FEB 2019
                                        ","
                                                0
                                            "
"
2788                                        ","
                                            13:37.89
                                        ","
        ","
                                            16 APR 1975
                                        ","
                                            ","
                                            3
                                        ","
                                            Nobeoka (JPN)
                                        ","
                                            23 MAY 1998
                                        ","
                                                1075
                                            "
"
2789                                        ","
                                            13:37.90
                                        ","
        ","
                                            17 APR 1983
                                        ","
                                            ","
                                            4f1
                                        ","
                                            Portland, OR (USA)
                                        ","
                                            09 JUN 2012
                                        ","
                                                1075
                                            "
"
2789                                        ","
                                            13:37.90
                                        ","
        ","
                                            08 APR 1986
                                        ","
                                            ","
                                            5f1
                                        ","
                                            Kitami (JPN)
                                        ","
                                            12 JUL 2015
                                        ","
                                                1075
                                            "
"
2791                                        ","
                                            13:37.92
                                        ","
        ","
                                            
                                        ","
                                            ","
                                            3
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            20 APR 2018
                                        ","
                                                1075
                                            "
"
2792                                        ","
                                            13:37.93
                                        ","
        ","
                                            12 APR 1968
                                        ","
                                            ","
                                            6
                                        ","
                                            Lisboa (POR)
                                        ","
                                            20 JUN 1998
                                        ","
                                                1075
                                            "
"
2792                                        ","
                                            13:37.93
                                        ","
        ","
                                            17 FEB 1993
                                        ","
                                            ","
                                            8f42
                                        ","
                                            Yokohama (JPN)
                                        ","
                                            29 SEP 2013
                                        ","
                                                1075
                                            "
"
2792                                        ","
                                            13:37.93
                                        ","
        ","
                                            23 FEB 2001
                                        ","
                                            ","
                                            4f19
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            05 JUN 2022
                                        ","
                                                1075
                                            "
"
2795                                        ","
                                            13:37.94
                                        ","
        ","
                                            26 MAR 1959
                                        ","
                                            ","
                                            2
                                        ","
                                            Moskva (URS)
                                        ","
                                            04 SEP 1988
                                        ","
                                                1074
                                            "
"
2795                                        ","
                                            13:37.94
                                        ","
        ","
                                            05 APR 1968
                                        ","
                                            ","
                                            1
                                        ","
                                            Madison, WI (USA)
                                        ","
                                            06 MAY 1995
                                        ","
                                                1074
                                            "
"
2797                                        ","
                                            13:37.95
                                        ","
        ","
                                            17 OCT 1983
                                        ","
                                            ","
                                            9
                                        ","
                                            Manchester (GBR)
                                        ","
                                            31 JUL 2002
                                        ","
                                                1074
                                            "
"
2797                                        ","
                                            13:37.95
                                        ","
        ","
                                            26 JUL 1995
                                        ","
                                            ","
                                            5
                                        ","
                                            Rovereto (ITA)
                                        ","
                                            08 SEP 2015
                                        ","
                                                1074
                                            "
"
2797                                        ","
                                            13:37.95
                                        ","
        ","
                                            05 MAY 1992
                                        ","
                                            ","
                                            1f2
                                        ","
                                            Mandela National Stadium, Kampala (UGA)
                                        ","
                                            08 MAY 2021
                                        ","
                                                1074
                                            "
"
2800                                        ","
                                            13:37.96
                                        ","
        ","
                                            07 OCT 2000
                                        ","
                                            ","
                                            5f19
                                        ","
                                            NITTAIDAI Athletic Stadium, Yokohama (JPN)
                                        ","
                                            05 JUN 2022
                                        ","
                                                1074
                                            "
"
2999                                        ","
                                            13:39.0h
                                        ","
        ","
                                            02 APR 1941
                                        ","
                                            ","
                                            3
                                        ","
                                            Leningrad (URS)
                                        ","
                                            16 JUN 1973
                                        ","
                                                1071
                                            "
"
2999                                        ","
                                            13:39.0h
                                        ","
        ","
                                            21 JUL 1953
                                        ","
                                            ","
                                            5
                                        ","
                                            Oslo (NOR)
                                        ","
                                            20 AUG 1974
                                        ","
                                                1071
                                            "
"
2999                                        ","
                                            13:39.0h
                                        ","
        ","
                                            13 SEP 1952
                                        ","
                                            ","
                                            2
                                        ","
                                            Edinburgh (GBR)
                                        ","
                                            28 JUN 1975
                                        ","
                                                1071
                                            "
"
3004                                        ","
                                            13:39.00
                                        ","
        ","
                                            27 FEB 1966
                                        ","
                                            ","
                                            5
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            21 APR 1990
                                        ","
                                                1071
                                            "
"
3004                                        ","
                                            13:39.00
                                        ","
        ","
                                            02 FEB 1968
                                        ","
                                            ","
                                            10
                                        ","
                                            Walnut, CA (USA)
                                        ","
                                            21 APR 1996
                                        ","
                                                1071
                                            "
"
3004                                        ","
                                            13:39.00
                                        ","
        ","
                                            08 MAY 1993
                                        ","
                                            ","
                                            1f2
                                        ","
                                            Denka Big Swan Stadium, Niigata (JPN)
                                        ","
                                            06 JUN 2021
                                        ","
                                                1071
                                            "
"
3004                                        ","
                                            13:39.00
                                        ","
        ","
                                            05 MAR 2001
                                        ","
                                            ","
                                            10f2
                                        ","
                                            Aoba Park Athletic Field, Chitose (JPN)
                                        ","
                                            16 JUL 2022
                                        ","
                                                1071
                                            "
"
3004                                        ","
                                            13:39.00
                                        ","
        ","
                                            01 JUL 2000
                                        ","
                                            ","
                                            1f5
                                        ","
                                            Nishishina Athletic Stadium, Nobeoka (JPN)
                                        ","
                                            04 MAY 2023
                                        ","
                                                1071
                                            "
"
3009                                        ","
                                            13:39.01
                                        ","
        ","
                                            16 DEC 1965
                                        ","
                                            ","
                                            5
                                        ","
                                            Shizuoka (JPN)
                                        ","
                                            06 MAY 1991
                                        ","
                                                1071
                                            "
"
3010                                        ","
                                            13:39.02
                                        ","
        ","
                                            04 JAN 1962
                                        ","
                                            ","
                                            4
                                        ","
                                            Leningrad (URS)
                                        ","
                                            26 JUL 1983
                                        ","
                                                1071
                                            "
"
3010                                        ","
                                            13:39.02
                                        ","
        ","
                                            12 JAN 1956
                                        ","
                                            ","
                                            2
                                        ","
                                            Sopot (POL)
                                        ","
                                            02 AUG 1986
                                        ","
                                                1071
                                            "
"
3010                                        ","
                                            13:39.02
                                        ","
        ","
                                            26 MAY 1993
                                        ","
                                            ","
                                            6f1
                                        ","
                                            Abashiri (JPN)
                                        ","
                                            11 JUL 2016
                                        ","
                                                1071
                                            "
"
3013                                        ","
                                            13:39.04
                                        ","
        ","
                                            03 MAR 2000
                                        ","
                                            ","
                                            8
                                        ","
                                            Yanmar Stadium Nagai, Osaka (JPN)
                                        ","
                                            24 JUN 2021
                                        ","
                                                1071
                                            "
"
3014                                        ","
                                            13:39.06
                                        ","
        ","
                                            14 MAY 1993
                                        ","
                                            ","
                                            11f1
                                        ","
                                            Palo Alto, CA (USA)
                                        ","
                                            03 APR 2015
                                        ","
                                                1071
                                            "
